,Values
NAV,"10,227.99"
Open Price,"10,220.00"
Bid / Ask / Spread,"10,200.00 / 10,280.00 / 0.78%"
Volume / Avg,"25,459.0 / 49,003.6"
Day Range,"10,215.00 – 10,285.00"
Year Range,"8,130.00 – 10,285.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.680%
Total Assets,28.3 Bil
