,Values
NAV,"8,029.04"
Open Price,"8,010.00"
Bid / Ask / Spread,"7,600.00 / 8,020.00 / 5.38%"
Volume / Avg,"28,335.0 / 47,373.9"
Day Range,"7,985.00 – 8,040.00"
Year Range,"7,905.00 – 10,030.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.690%
Total Assets,27.1 Bil
