,Values
NAV,"44,756.58"
Open Price,"44,540.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,6.0 / 14.0
Day Range,"44,480.00 – 44,550.00"
Year Range,"44,480.00 – 48,820.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.120%
Total Assets,5.8 Bil
