Sectors,Fund %,Category %
Basic Materials,14.10,9.15
Consumer Cyclical,20.29,17.36
Financial Services,2.37,6.02
Real Estate,0.00,1.52
Communication Services,0.00,0.59
Energy,1.25,0.85
Industrials,30.74,14.91
Technology,5.79,23.36
Consumer Defensive,12.49,7.26
Healthcare,12.96,18.74
Utilities,0.00,0.24
