,Values
NAV,"8,249.22"
Open Price,"8,235.00"
Bid / Ask / Spread,"8,150.00 / 0.00 / 0.00%"
Volume / Avg,"1,805.0 / 90,545.1"
Day Range,"8,125.00 – 8,235.00"
Year Range,"7,835.00 – 10,930.00"
SEC Yield ,—
12-Month Yield ,1.58%
Premium ,—
Expense Ratio,0.340%
Total Assets,63.5 Bil
