,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.24,2.88,-9.34,-10.03,-15.49,-18.99,-8.86,—,—,—,—
Total Return % (NAV),-0.57,0.56,-9.91,-12.34,-15.76,-20.69,-9.05,—,—,—,-7.33
+/- Category (NAV),-0.64,-1.34,-0.24,1.19,-6.33,-1.16,-3.77,—,—,—,—
+/- Index (NAV),-0.51,-0.34,0.58,3.54,-0.71,-0.88,-1.60,—,—,—,—
