,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,11.65,-14.01,15.99
Fund (NAV),—,—,—,—,—,—,—,—,11.55,-14.06,16.12
+/ Category (NAV),—,—,—,—,—,—,—,—,-0.44,-1.73,2.30
+/- Index (Price),—,—,—,—,—,—,—,—,-14.77,1.22,5.96
Percentile Rank,—,—,—,—,—,—,—,—,44,71,26
# of Funds in Category,—,—,—,—,—,—,—,188,190,210,215
