,Values
NAV,"12,317.69"
Open Price,"12,285.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,172.0 / 1,632.3"
Day Range,"11,940.00 – 12,285.00"
Year Range,"10,850.00 – 12,955.00"
SEC Yield ,—
12-Month Yield ,2.84%
Premium ,—
Expense Ratio,0.460%
Total Assets,12.3 Bil
