,Fund,Cat. Average,Index
Price/Earnings ,25.51,17.17,20.64
Price/Book ,2.38,2.04,3.84
Price/Sales ,2.69,1.37,2.36
Price/Cash Flow ,16.79,7.78,11.93
Dividend Yield % ,0.70,1.69,1.48
Long-Term Earnings % ,28.17,8.11,10.45
Historical Earnings % ,15.55,12.12,18.19
Sales Growth % ,12.67,7.65,8.61
Cash-Flow Growth % ,8.61,13.49,16.51
Book-Value Growth % ,15.65,7.62,8.68
