,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,48.09,12.44,-0.48,-14.77,47.18,-16.86,6.71
Fund (NAV),—,—,—,—,47.03,12.87,0.01,-15.40,47.85,-17.19,7.55
+/ Category (NAV),—,—,—,—,36.56,10.73,9.25,-29.39,13.20,-3.75,-8.60
+/- Index (Price),—,—,—,—,20.82,-1.04,-2.55,-27.49,6.28,-9.49,-12.15
Percentile Rank,—,—,—,—,—,—,—,—,3,68,83
# of Funds in Category,—,—,—,27,25,26,26,25,58,243,370
