,Values
Sustainability Rate,Below Average
Percent Rank in Global Category,83%
Historical Sustainability Score,43.97
Global Category,Technology Sector Equity
Portfolio ESG,44.54
Controversy Deduction,0.12
Sustainability Score,44.42
Sustainability Mandate,No
