,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,41.01,69.52
Non-U.S.Stock,99.92,0.00,99.92,46.12,30.48
Bonds,0.00,0.00,0.00,0.01,0.00
Other,0.00,0.00,0.00,0.52,0.00
Cash,0.08,0.55,0.63,32.42,0.00
Not Classified,0.00,0.00,0.00,0.04,0.00
