,Values
NAV,"7,816.81"
Open Price,"7,750.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,574.0 / 5,053.9"
Day Range,"7,735.00 – 7,850.00"
Year Range,"6,240.00 – 8,130.00"
SEC Yield ,—
12-Month Yield ,0.52%
Premium ,—
Expense Ratio,0.450%
Total Assets,28.8 Bil
