,Fund,Cat. Average,Index
Price/Earnings ,8.55,9.22,—
Price/Book ,0.72,0.83,—
Price/Sales ,0.56,0.46,—
Price/Cash Flow ,2.93,3.89,—
Dividend Yield % ,5.36,2.81,—
Long-Term Earnings % ,9.05,5.87,—
Historical Earnings % ,6.46,3.24,—
Sales Growth % ,4.42,1.97,—
Cash-Flow Growth % ,9.91,-5.54,—
Book-Value Growth % ,5.75,6.47,—
