Sectors,Fund %,Category %
Basic Materials,10.22,9.92
Consumer Cyclical,0.00,18.02
Financial Services,53.67,11.34
Real Estate,1.38,2.30
Communication Services,0.00,2.33
Energy,8.33,1.77
Industrials,14.79,12.04
Technology,5.81,26.05
Consumer Defensive,5.81,9.12
Healthcare,0.00,5.97
Utilities,0.00,1.13
