,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,39.97,0.00,39.97,26.64,29.07
Bonds,71.02,0.00,71.02,58.62,0.00
Other,0.02,0.00,0.02,0.75,70.15
Cash,-11.01,20.39,9.38,20.82,0.00
Not Classified,0.00,0.00,0.00,1.24,0.78
