,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-97.93,98.25,0.32,5.39,—
Bonds,13.60,0.00,13.60,12.48,—
Other,0.02,0.00,0.02,19.44,—
Cash,184.31,1.51,185.82,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
