,Values
NAV,"8,096.32"
Open Price,"8,070.00"
Bid / Ask / Spread,"8,090.00 / 8,110.00 / 0.25%"
Volume / Avg,"165,579.0 / 574,494.2"
Day Range,"8,035.00 – 8,105.00"
Year Range,"6,915.00 – 8,220.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.110%
Total Assets,38.9 Bil
