,Values
NAV,"11,510.23"
Open Price,"11,500.00"
Bid / Ask / Spread,"11,420.00 / 0.00 / 0.00%"
Volume / Avg,"19,652.0 / 13,513.3"
Day Range,"11,420.00 – 11,505.00"
Year Range,"9,760.00 – 11,640.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.410%
Total Assets,9.2 Bil
