,Values
NAV,"13,607.32"
Open Price,"13,505.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"83.0 / 2,032.4"
Day Range,"13,505.00 – 13,505.00"
Year Range,"11,970.00 – 15,560.00"
SEC Yield ,—
12-Month Yield ,1.86%
Premium ,—
Expense Ratio,0.440%
Total Assets,7.6 Bil
