,Fund,Cat. Average,Index
Price/Earnings ,11.54,21.65,18.41
Price/Book ,0.77,2.67,2.59
Price/Sales ,0.51,1.80,1.18
Price/Cash Flow ,5.11,12.60,11.41
Dividend Yield % ,2.33,1.36,2.35
Long-Term Earnings % ,23.37,11.95,9.27
Historical Earnings % ,-12.89,13.32,5.82
Sales Growth % ,-2.98,10.36,4.99
Cash-Flow Growth % ,9.62,6.20,3.63
Book-Value Growth % ,0.37,11.50,7.88
