,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,200.10,0.00,200.10,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-100.10,111.13,11.03,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
