,Values
NAV,"8,131.71"
Open Price,"8,080.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"5,891.0 / 10,489.5"
Day Range,"8,080.00 – 8,250.00"
Year Range,"7,600.00 – 11,100.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.670%
Total Assets,13.8 Bil
