,Values
NAV,"10,109.94"
Open Price,"10,140.00"
Bid / Ask / Spread,"10,000.00 / 10,400.00 / 3.92%"
Volume / Avg,"41.0 / 2,571.3"
Day Range,"10,090.00 – 10,140.00"
Year Range,"10,030.00 – 11,165.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.520%
Total Assets,10.2 Bil
