,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,1.76,1.34,1.29,1.66,1.18
Fund (NAV),—,—,—,—,—,—,1.77,1.33,1.31,1.67,1.18
+/ Category (NAV),—,—,—,—,—,—,-0.96,0.03,0.89,-1.35,-1.78
+/- Index (Price),—,—,—,—,—,—,-2.53,-0.43,0.66,-3.07,-4.11
Percentile Rank,—,—,—,—,—,—,72,47,12,87,92
# of Funds in Category,—,—,—,—,—,276,329,366,449,545,717
