,Values
NAV,"104,710.99"
Open Price,"104,720.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"968.0 / 171,531.8"
Day Range,"104,710.00 – 104,725.00"
Year Range,"103,480.00 – 104,725.00"
SEC Yield ,—
12-Month Yield ,1.05%
Premium ,—
Expense Ratio,0.160%
Total Assets,236.9 Bil
