,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,85.38,0.00,85.38,92.09,—
Other,0.00,0.00,0.00,0.18,—
Cash,14.62,14.15,28.77,23.76,—
Not Classified,0.00,0.00,0.00,0.00,—
