,Values
NAV,"6,215.34"
Open Price,"6,235.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,42.0 / 270.9
Day Range,"6,220.00 – 6,235.00"
Year Range,"6,070.00 – 7,490.00"
SEC Yield ,—
12-Month Yield ,1.70%
Premium ,—
Expense Ratio,0.290%
Total Assets,6.5 Bil
