,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,10.53,23.71,-17.21,-3.87
Fund (NAV),—,—,—,—,—,—,—,10.62,24.14,-17.20,-3.31
+/ Category (NAV),—,—,—,—,—,—,—,9.94,1.66,-0.52,1.47
+/- Index (Price),—,—,—,—,—,—,—,-3.29,-8.52,0.42,-4.53
Percentile Rank,—,—,—,—,—,—,—,4,43,46,40
# of Funds in Category,—,—,—,—,—,—,"2,103","2,012","2,058","2,015","2,325"
