Sectors,Fund %,Category %
Basic Materials,14.49,8.70
Consumer Cyclical,10.32,13.65
Financial Services,7.98,11.56
Real Estate,0.00,0.29
Communication Services,4.05,2.34
Energy,2.99,1.96
Industrials,7.19,10.46
Technology,39.05,38.20
Consumer Defensive,6.23,6.64
Healthcare,7.71,4.97
Utilities,0.00,1.23
