,Values
NAV,"10,618.57"
Open Price,"10,505.00"
Bid / Ask / Spread,"10,420.00 / 10,460.00 / 0.38%"
Volume / Avg,"97,747.0 / 5,665.8"
Day Range,"10,465.00 – 10,525.00"
Year Range,"10,010.00 – 13,215.00"
SEC Yield ,—
12-Month Yield ,1.27%
Premium ,—
Expense Ratio,0.440%
Total Assets,5.9 Bil
