,Fund,Cat. Average,Index
Price/Earnings ,12.20,10.08,10.07
Price/Book ,1.62,1.04,0.93
Price/Sales ,1.09,0.61,0.40
Price/Cash Flow ,9.92,4.44,2.91
Dividend Yield % ,1.96,1.71,2.01
Long-Term Earnings % ,18.55,9.55,10.86
Historical Earnings % ,7.52,2.73,0.53
Sales Growth % ,1.70,-1.44,-3.08
Cash-Flow Growth % ,-19.37,-10.31,-9.25
Book-Value Growth % ,9.42,6.21,2.39
