,Values
NAV,"9,125.01"
Open Price,"9,145.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"2,130.0 / 2,519.0"
Day Range,"9,125.00 – 9,145.00"
Year Range,"9,060.00 – 10,400.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.240%
Total Assets,12.8 Bil
