,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,0.00
Non-U.S.Stock,29.47,0.00,29.47,26.64,29.07
Bonds,70.34,0.00,70.34,58.62,0.00
Other,0.00,0.00,0.00,0.75,70.15
Cash,0.18,2.58,2.76,20.82,0.00
Not Classified,0.00,0.00,0.00,1.24,0.78
