,Fund,Cat. Average,Index
Price/Earnings ,16.93,9.22,—
Price/Book ,1.04,0.83,—
Price/Sales ,0.76,0.46,—
Price/Cash Flow ,6.79,3.89,—
Dividend Yield % ,1.78,2.81,—
Long-Term Earnings % ,10.15,5.87,—
Historical Earnings % ,-9.88,3.24,—
Sales Growth % ,0.55,1.97,—
Cash-Flow Growth % ,-14.58,-5.54,—
Book-Value Growth % ,6.21,6.47,—
