,Values
NAV,"10,329.80"
Open Price,"10,360.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"192,875.0 / 72,587.9"
Day Range,"10,345.00 – 10,375.00"
Year Range,"9,985.00 – 10,375.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.300%
Total Assets,10.3 Bil
