,Values
Sustainability Rate,Average
Percent Rank in Global Category,66%
Historical Sustainability Score,48.26
Global Category,Global Equity Large Cap
Portfolio ESG,55.49
Controversy Deduction,6.99
Sustainability Score,48.50
Sustainability Mandate,No
