,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),44.95,23.74,-10.02,10.73,1.37,-6.40,0.34,9.40,27.56,-17.37,-2.70
Fund (NAV),50.55,23.71,-11.08,11.90,1.49,-6.53,0.29,10.03,27.43,-17.51,-2.25
+/ Category (NAV),-4.84,0.76,-0.37,4.91,0.38,-1.45,-3.72,9.35,4.96,-0.83,2.62
+/- Index (Price),-15.32,1.52,-1.45,-3.60,-1.16,0.75,3.16,-4.42,-4.68,0.26,-3.19
Percentile Rank,48,39,48,12,43,52,63,6,15,54,16
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
