,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-8.78,15.80
Fund (NAV),—,—,—,—,—,—,—,—,—,-8.05,16.02
+/ Category (NAV),—,—,—,—,—,—,—,—,—,5.39,0.17
+/- Index (Price),—,—,—,—,—,—,—,—,—,-1.41,-4.77
Percentile Rank,—,—,—,—,—,—,—,—,—,32,49
# of Funds in Category,—,—,—,—,—,—,—,—,58,243,370
