,Values
NAV,"11,527.04"
Open Price,"11,485.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"22,430.0 / 105,368.7"
Day Range,"11,350.00 – 11,485.00"
Year Range,"9,510.00 – 11,960.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.490%
Total Assets,176.4 Bil
