Sectors,Fund %,Category %
Basic Materials,1.10,1.01
Consumer Cyclical,4.87,9.12
Financial Services,8.59,2.52
Real Estate,2.05,0.18
Communication Services,7.95,3.47
Energy,0.00,0.08
Industrials,9.32,5.00
Technology,34.98,72.29
Consumer Defensive,0.00,0.22
Healthcare,31.14,5.88
Utilities,0.00,0.21
