,Fund,Cat. Average,Index
Price/Earnings ,18.20,17.17,20.64
Price/Book ,2.70,2.04,3.84
Price/Sales ,2.06,1.37,2.36
Price/Cash Flow ,10.08,7.78,11.93
Dividend Yield % ,2.07,1.69,1.48
Long-Term Earnings % ,12.82,8.11,10.45
Historical Earnings % ,11.40,12.12,18.19
Sales Growth % ,5.70,7.65,8.61
Cash-Flow Growth % ,11.45,13.49,16.51
Book-Value Growth % ,5.86,7.62,8.68
