,Values
NAV,"8,426.83"
Open Price,"8,310.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"71,917.0 / 16,403.3"
Day Range,"8,275.00 – 8,345.00"
Year Range,"8,185.00 – 10,010.00"
SEC Yield ,—
12-Month Yield ,0.68%
Premium ,—
Expense Ratio,0.360%
Total Assets,32.4 Bil
