,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-17.05,-6.07
Fund (NAV),—,—,—,—,—,—,—,—,—,-16.98,-6.11
+/ Category (NAV),—,—,—,—,—,—,—,—,—,1.16,3.32
+/- Index (Price),—,—,—,—,—,—,—,—,—,-5.17,8.98
Percentile Rank,—,—,—,—,—,—,—,—,—,47,36
# of Funds in Category,—,—,—,—,—,—,—,—,272,369,476
