,Values
NAV,"41,529.67"
Open Price,"41,325.00"
Bid / Ask / Spread,"41,415.00 / 41,540.00 / 0.30%"
Volume / Avg,"3.0 / 2,316.9"
Day Range,"41,325.00 – 41,325.00"
Year Range,"41,325.00 – 48,745.00"
SEC Yield ,—
12-Month Yield ,1.74%
Premium ,—
Expense Ratio,0.240%
Total Assets,622.9 Mil
