,Values
Sustainability Rate,High
Percent Rank in Global Category,5%
Historical Sustainability Score,43.19
Global Category,Korea Equity
Portfolio ESG,51.62
Controversy Deduction,8.04
Sustainability Score,43.58
Sustainability Mandate,No
