,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),50.04,24.13,-9.95,10.73,3.32,-8.25,0.12,6.79,28.03,-17.01,-1.61
Fund (NAV),52.35,23.71,-10.28,10.99,3.48,-8.26,-0.03,7.17,28.01,-16.70,-2.23
+/ Category (NAV),-3.04,0.76,0.43,4.00,2.38,-3.18,-4.04,6.48,5.53,-0.03,1.20
+/- Index (Price),-10.23,1.91,-1.38,-3.60,0.79,-1.09,2.94,-7.03,-4.20,0.62,-2.27
Percentile Rank,44,38,38,19,23,71,67,23,12,38,—
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015",41
