Sectors,Fund %,Category %
Basic Materials,7.79,8.70
Consumer Cyclical,10.30,13.65
Financial Services,12.97,11.56
Real Estate,0.00,0.29
Communication Services,3.22,2.34
Energy,2.05,1.96
Industrials,6.68,10.46
Technology,44.64,38.20
Consumer Defensive,6.67,6.64
Healthcare,4.41,4.97
Utilities,1.27,1.23
