,Values
NAV,"2,347.54"
Open Price,"2,335.00"
Bid / Ask / Spread,"0.00 / 2,505.00 / 0.00%"
Volume / Avg,"27,124.0 / 32,911.4"
Day Range,"2,265.00 – 2,335.00"
Year Range,"2,245.00 – 3,280.00"
SEC Yield ,—
12-Month Yield ,1.22%
Premium ,—
Expense Ratio,0.440%
Total Assets,11.9 Bil
