,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,8.15,—
Non-U.S.Stock,99.58,0.00,99.58,79.51,—
Bonds,0.00,0.00,0.00,0.07,—
Other,0.00,0.00,0.00,0.89,—
Cash,0.42,1.05,1.47,24.83,—
Not Classified,0.00,0.00,0.00,0.06,—
