,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.77,-0.87,-13.14,-11.80,-20.68,-20.13,-5.55,-9.43,—,—,—
Total Return % (NAV),0.78,0.92,-10.64,-10.95,-18.43,-19.96,-4.68,-8.62,—,—,-11.66
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
