,Values
NAV,"102,570.40"
Open Price,"102,440.00"
Bid / Ask / Spread,"102,675.00 / 102,735.00 / 0.06%"
Volume / Avg,1.0 / 4.4
Day Range,"102,440.00 – 102,440.00"
Year Range,"100,200.00 – 102,620.00"
SEC Yield ,—
12-Month Yield ,2.44%
Premium ,—
Expense Ratio,0.170%
Total Assets,6.2 Bil
