,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.00,—
Bonds,81.56,0.00,81.56,72.86,—
Other,0.02,0.00,0.02,0.04,—
Cash,18.42,9.74,28.17,40.33,—
Not Classified,0.00,0.00,0.00,0.00,—
