,Values
NAV,"106,647.34"
Open Price,"106,635.00"
Bid / Ask / Spread,"0.00 / 117,315.00 / 0.00%"
Volume / Avg,"21.0 / 3,645.4"
Day Range,"106,630.00 – 106,655.00"
Year Range,"103,860.00 – 106,655.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.160%
Total Assets,10.7 Bil
