Sectors,Fund %,Category %
Basic Materials,5.04,8.70
Consumer Cyclical,10.74,13.65
Financial Services,18.74,11.56
Real Estate,0.00,0.29
Communication Services,5.00,2.34
Energy,2.42,1.96
Industrials,12.74,10.46
Technology,20.72,38.20
Consumer Defensive,15.37,6.64
Healthcare,4.87,4.97
Utilities,4.35,1.23
