,Values
Sustainability Rate,High
Percent Rank in Global Category,5%
Historical Sustainability Score,43.19
Global Category,Korea Equity
Portfolio ESG,49.55
Controversy Deduction,6.03
Sustainability Score,43.52
Sustainability Mandate,No
