,Values
NAV,"7,154.10"
Open Price,"7,105.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"300,032.0 / 13,134.7"
Day Range,"7,060.00 – 7,135.00"
Year Range,"7,030.00 – 8,615.00"
SEC Yield ,—
12-Month Yield ,1.74%
Premium ,—
Expense Ratio,0.450%
Total Assets,10.7 Bil
