,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),58.47,26.85,-12.27,10.64,2.87,1.17,10.21,-1.08,26.33,-11.04,-8.71
Fund (NAV),59.76,26.69,-12.55,10.85,3.20,0.71,10.53,-1.04,26.31,-10.93,-7.92
+/ Category (NAV),4.37,3.74,-1.84,3.87,2.09,5.79,6.52,-1.72,3.83,5.74,-3.05
+/- Index (Price),-1.80,4.63,-3.70,-3.69,0.35,8.33,13.03,-14.91,-5.90,6.59,-9.21
Percentile Rank,28,18,66,20,25,15,16,62,25,9,84
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
