,Values
Sustainability Rate,Above Average
Percent Rank in Global Category,15%
Historical Sustainability Score,42.55
Global Category,Korea Equity
Portfolio ESG,50.99
Controversy Deduction,8.04
Sustainability Score,42.95
Sustainability Mandate,No
