,Values
NAV,"8,836.64"
Open Price,"8,665.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,251.0 / 224.9
Day Range,"8,600.00 – 8,695.00"
Year Range,"7,845.00 – 10,750.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.700%
Total Assets,7.1 Bil
