,Values
NAV,"7,130.01"
Open Price,"7,060.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"772.0 / 2,068.4"
Day Range,"7,025.00 – 7,105.00"
Year Range,"7,010.00 – 9,685.00"
SEC Yield ,—
12-Month Yield ,1.22%
Premium ,—
Expense Ratio,0.300%
Total Assets,8.6 Bil
