,Fund,Cat. Average,Index
Price/Earnings ,11.16,11.02,12.13
Price/Book ,0.91,0.84,0.86
Price/Sales ,0.60,0.53,0.65
Price/Cash Flow ,4.66,3.46,3.66
Dividend Yield % ,2.97,3.08,3.48
Long-Term Earnings % ,12.11,10.07,3.69
Historical Earnings % ,11.84,15.26,14.88
Sales Growth % ,8.44,11.25,4.89
Cash-Flow Growth % ,-13.53,16.83,15.05
Book-Value Growth % ,6.04,10.86,8.56
