Sectors,Fund %,Category %
Basic Materials,—,6.23
Consumer Cyclical,—,7.80
Financial Services,—,22.50
Real Estate,—,12.48
Communication Services,—,1.12
Energy,—,10.13
Industrials,—,7.15
Technology,—,15.88
Consumer Defensive,—,10.60
Healthcare,—,3.51
Utilities,—,2.60
