,Values
NAV,"16,940.03"
Open Price,"16,990.00"
Bid / Ask / Spread,"16,720.00 / 16,985.00 / 1.57%"
Volume / Avg,"8,616.0 / 10,865.7"
Day Range,"16,825.00 – 16,990.00"
Year Range,"11,100.00 – 18,085.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.660%
Total Assets,18.6 Bil
